latitude,longitude,full_street_address,city,county_name,baths_half,details,special_features,price,transaction_type,listing_status,listing_special_features,census_state_name,census_county_name,zip,beds,baths_full,year_built,square_footage,PCT_CHG,Individuals_taxed,Elderly_taxed,Total_AGI,Number_of_returns,Total_income,Income_per_return,Int_Number of returns,Int_Amount,Int_earned,Cap_gain,Pension,UE_claims,Social_security,SB_income,Student_loan_ded,RE_taxes,PP_taxes,Mortgage_Int_paid,Taxable_inc,Child_credit,Earned_Inc_credit
30.804209,-81.653325,101 College Street,Kingsland,Camden-County,0.0,Detached,2,339900,1,1,2,Georgia,"Camden, GA",31548,4.0,2.0,2020.0,2103.0,0.11793987185805821,20160.0,1820.0,511435.0,9720.0,515826.0,53.06851852,2170.0,1616.0,0.744700461,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,8.708955224,43.96923077,2.125742574,2.585462555
30.767365,-81.588272,169 School House Creek Drive,Saint Marys,Camden-County,0.0,Detached,0,310000,1,1,0,Georgia,"Camden, GA",31558,5.0,3.0,2004.0,2269.0,0.1138990459378808,18840.0,2230.0,553832.0,9270.0,558674.0,60.26688242,2500.0,3254.0,1.3016,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,10.49393939,50.74813333,2.175097276,2.555497382
30.746731,-81.633995,1621 Sandpiper Court,Saint Marys,Camden-County,0.0,Detached,0,315000,1,1,0,Georgia,"Camden, GA",31558,3.0,2.0,2004.0,1846.0,0.1138990459378808,18840.0,2230.0,553832.0,9270.0,558674.0,60.26688242,2500.0,3254.0,1.3016,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,10.49393939,50.74813333,2.175097276,2.555497382
30.791878,-81.67675,346 Laurel Landing Boulevard,Kingsland,Camden-County,0.0,Detached,0,310000,1,1,0,Georgia,"Camden, GA",31548,3.0,2.0,2017.0,1977.0,0.11793987185805821,20160.0,1820.0,511435.0,9720.0,515826.0,53.06851852,2170.0,1616.0,0.744700461,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,8.708955224,43.96923077,2.125742574,2.585462555
31.104492,-81.604486,81 Ossabaw Way,Waverly,Camden-County,0.0,Detached,2,369900,1,1,2,Georgia,"Camden, GA",31565,3.0,2.0,2022.0,1835.0,0.020674226645066796,1800.0,280.0,61680.0,930.0,62196.0,66.87741935,290.0,475.0,1.637931034,6.375,32.572,0.0,17.61052632,65.22857143,1.16,4.311111111,0.4,10.33333333,58.20810811,1.936,2.294117647
30.75034,-81.608505,706 Cinnamon Fern Trail,Saint Marys,Camden-County,1.0,Detached,0,528000,1,1,0,Georgia,"Camden, GA",31558,4.0,2.0,1998.0,2557.0,0.1138990459378808,18840.0,2230.0,553832.0,9270.0,558674.0,60.26688242,2500.0,3254.0,1.3016,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,10.49393939,50.74813333,2.175097276,2.555497382
30.819548,-81.607118,107 Ryan Nicholas Drive,Kingsland,Camden-County,0.0,Detached,2,360000,1,1,2,Georgia,"Camden, GA",31548,3.0,2.0,2021.0,2117.0,0.11793987185805821,20160.0,1820.0,511435.0,9720.0,515826.0,53.06851852,2170.0,1616.0,0.744700461,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,8.708955224,43.96923077,2.125742574,2.585462555
30.815933,-81.604103,305 Cumberland Drive,Kingsland,Camden-County,1.0,Detached,0,439900,1,1,0,Georgia,"Camden, GA",31548,3.0,2.0,1999.0,2928.0,0.11793987185805821,20160.0,1820.0,511435.0,9720.0,515826.0,53.06851852,2170.0,1616.0,0.744700461,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,8.708955224,43.96923077,2.125742574,2.585462555
31.018468,-81.559863,4634 Lampadoshia Road,Waverly,Camden-County,0.0,Detached,2,545000,1,1,2,Georgia,"Camden, GA",31565,3.0,2.0,2021.0,1500.0,0.020674226645066796,1800.0,280.0,61680.0,930.0,62196.0,66.87741935,290.0,475.0,1.637931034,6.375,32.572,0.0,17.61052632,65.22857143,1.16,4.311111111,0.4,10.33333333,58.20810811,1.936,2.294117647
30.856803,-81.643137,588 Cmg Place,Woodbine,Camden-County,1.0,Detached,0,599900,1,1,0,Georgia,"Camden, GA",31569,3.0,2.0,1997.0,2224.0,0.14874979209402883,4720.0,600.0,137690.0,2290.0,138652.0,60.54672489,640.0,710.0,1.109375,6.444,30.13278689,0.0,13.68157895,35.2625,1.05,3.466666667,0.569230769,8.935294118,51.95714286,2.120895522,2.685416667
